Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
1.111,-0.874,1.826,0.018,-1.762,1.663,-0.533,-0.781,-1.762,1.219,1.313
1.511,-0.956,-0.884,0.28,-0.794,0.395,-0.169,-0.709,-0.794,1.006,1.183
2.028,-0.888,0.13,0.405,-0.689,0.942,0.118,-0.627,-0.689,0.895,1.116
1.592,-1.055,-1.451,-0.359,-0.583,3.244,-0.137,-0.828,-0.583,0.897,1.117
0.885,-1.208,-1.399,-0.672,-0.476,1.453,-1.329,-0.667,-0.476,0.844,1.085
1.379,-1.297,-0.986,0.208,-0.371,1.099,-1.527,-0.653,-0.371,0.797,1.056
2.411,-1.248,0.027,0.36,-0.266,1.033,-1.164,-0.661,-0.266,0.717,1.007
1.962,-1.238,-0.272,-0.011,-0.161,0.572,-0.825,-0.798,-0.161,0.656,0.97
1.003,-1.241,-0.356,-1.118,-0.057,-0.697,-1.122,-1.141,-0.057,0.632,0.956
0.71,-1.308,-0.83,-1.006,0.388,-0.407,-1.031,-1.007,0.388,0.63,0.955
1.291,-1.235,0.222,-0.251,0.181,1.639,-0.969,-1.332,0.181,0.656,0.97
1.538,-1.133,0.436,-1.19,0.267,0.463,-0.678,-1.265,0.267,0.687,0.989
0.612,-0.718,2.669,-2.076,0.352,-0.311,-0.654,-0.06,0.352,0.686,0.989
1.213,-0.548,0.775,-1.575,1.28,0.017,-0.228,-0.467,1.28,0.668,0.978
0.763,-0.298,1.227,-1.171,0.535,0.234,-0.569,0.249,0.535,0.646,0.965
0.509,-0.149,0.559,-1.203,0.621,0.683,0.05,-0.022,0.621,0.596,0.935
-0.324,-0.01,0.469,-1.618,0.718,0.221,-0.517,-0.217,0.718,0.494,0.873
-0.999,0.157,0.595,-1.857,1.024,0.077,-0.72,-0.05,1.024,0.283,0.744
-0.71,0.337,0.637,-1.794,1.048,0.376,-0.531,-0.39,1.048,0.269,0.735
-1.484,0.584,0.939,-2.385,0.987,-0.819,-1.401,-0.761,0.987,0.223,0.708
-0.848,0.841,0.931,-1.692,0.743,-0.277,1.015,0.291,0.743,0.188,0.687
-0.465,0.97,0.291,-1.19,1.707,0.369,2.364,0.366,1.707,0.155,0.666
-0.718,1.046,0.035,-1.395,1.353,-0.045,1.739,0.617,1.353,0.057,0.606
-0.22,1.259,0.615,-1.622,1.67,-0.652,1.557,0.978,1.67,-0.096,0.512
0.037,1.464,0.529,-1.81,1.499,-1.141,1.476,1.982,1.499,-0.271,0.404
-0.331,1.469,-0.339,-2.57,1.292,-1.869,0.535,2.442,1.292,-0.505,0.261
-0.231,1.228,-1.352,-2.907,2.122,-1.851,0.899,3.108,2.122,-0.662,0.164
-0.725,1.135,-0.777,-2.205,1.524,-1.31,0.419,0.199,1.524,-0.774,0.096
-0.603,1.112,-0.512,-1.626,1.78,-0.967,-0.111,0.244,1.78,-1.028,-0.061
-0.512,1.111,-0.445,-2.427,1.646,-1.216,0.884,0.199,1.646,-1.278,-0.215
-0.95,0.64,-2.48,-2.874,1.646,-1.78,0.67,0.449,1.646,-1.43,-0.308
-0.541,0.589,-0.705,-2.893,2.146,-1.182,0.996,0.664,2.146,-1.528,-0.367
